zipcode,Total_pop,male,female,white,black,asian,american_Indian,native_Hawaiian,other_race_one,Total_hispanic,non_hisp_white,non_hisp_black,non_hisp_asian,unemployedCvilian,popBelowpoverty,popUninsured
91901,18558,9257,9301,16558,257,459,437,0,158,2530,14606,246,459,392,432,1083
91902,20138,9869,10269,14388,551,2630,51,190,706,9279,6746,520,2500,768,498,1243
91905,1478,789,689,1206,83,0,85,0,3,185,1074,83,0,30,141,50
91906,4351,2399,1952,3079,33,22,267,0,709,1799,2163,31,22,223,246,364
91910,74297,36775,37522,54470,3057,7483,192,272,5156,45307,17132,2610,7241,3657,3499,6510
91911,85365,42535,42830,61838,2943,7601,219,692,8876,61189,13013,2317,7216,5204,3652,8793
91913,53072,25871,27201,27212,2948,16046,280,377,2916,24788,7264,2777,15624,1700,962,3491
91914,16357,8476,7881,9242,1177,3661,7,130,941,7490,3378,1035,3570,222,153,735
91915,31740,15382,16358,17768,2005,7088,173,128,1421,15287,5165,1608,6877,935,481,1013
91916,1962,965,997,1789,11,0,33,0,35,213,1630,5,0,17,79,120
91917,920,402,518,522,7,132,0,110,81,395,220,3,132,46,75,59
91932,26701,13340,13361,18600,1289,2030,475,10,1734,13909,8232,1106,1966,1146,1642,3416
91935,8332,4109,4223,7175,122,307,80,7,340,1987,5646,122,300,200,202,713
91941,32384,15575,16809,24487,2670,1497,92,106,1411,7671,19064,2566,1374,1150,958,1547
91942,40205,18933,21272,30236,2106,2900,235,95,1869,9958,23590,1946,2773,1297,1799,3140
91945,27193,13297,13896,17202,3993,1730,125,121,2354,12616,7793,3784,1713,1019,876,3114
91950,62639,31449,31190,39436,3244,11666,336,396,5640,40306,6551,2791,11611,2071,3283,8096
91962,2378,1247,1131,2012,30,28,28,0,187,605,1637,20,28,59,20,99
91963,999,528,471,999,0,0,0,0,0,540,459,0,0,65,69,51
91977,63393,31255,32138,39165,7486,5686,239,701,6342,28677,18640,7348,5454,2650,2275,6631
91978,10518,5229,5289,7232,1047,650,53,54,476,3346,4721,986,650,568,318,911
91980,636,375,261,552,0,0,0,0,84,636,0,0,0,0,20,168
92003,5042,2703,2339,3892,91,339,9,0,396,1257,3133,91,339,178,126,301
92004,2414,1249,1165,2256,109,0,0,0,1,667,1638,109,0,116,154,50
92007,11234,5414,5820,10384,30,262,25,0,121,1097,9576,30,262,202,300,525
92008,27330,13676,13654,24152,218,1377,82,67,469,4761,20136,159,1352,598,643,1637
92009,45827,22070,23757,38631,286,3702,71,69,718,4990,34839,267,3702,989,608,1722
92010,16131,7692,8439,12560,364,2097,63,0,157,2802,10383,364,2041,438,626,576
92011,24382,11602,12780,20562,131,2216,17,120,598,3649,17428,131,2179,472,456,1139
92014,13863,7014,6849,12172,56,1046,0,12,104,1059,11330,56,1046,311,373,627
92019,42400,21265,21135,34660,1560,1341,357,84,1792,9610,28289,1450,1237,1464,1486,2514
92020,58742,29539,29203,44491,3335,2527,220,212,4628,14585,35752,3137,2492,2664,3420,5016
92021,71321,35997,35324,53328,3864,1917,378,624,6508,21495,40364,3194,1840,3147,3652,6537
92024,51496,25456,26040,45240,462,2127,168,36,1744,7109,40285,427,2101,1293,1487,2987
92025,53772,27005,26767,40813,1223,2540,519,89,6543,31149,17310,1106,2421,1352,2747,9026
92026,49921,25049,24872,37206,1041,4350,582,180,3952,17764,24465,941,4248,1288,1775,5438
92027,56811,29023,27788,41903,1257,3982,486,223,6366,30547,19323,1173,3883,1699,1890,8147
92028,49380,24543,24837,40458,1072,1238,205,131,4646,18747,27193,1011,1223,1170,1781,5068
92029,19149,9459,9690,15621,387,1517,11,63,525,4381,12086,315,1512,271,452,948
92036,2221,1211,1010,1847,61,2,66,0,163,262,1748,61,2,59,92,88
92037,39724,19366,20358,32457,705,4161,37,37,578,4092,29507,670,3929,907,1487,1416
92040,46261,23682,22579,39871,789,894,1038,438,1437,7945,34295,776,855,1583,1384,3146
92054,42173,21422,20751,32926,1562,1236,287,380,3611,15397,22072,1476,1162,1463,1700,4409
92055,12120,11156,964,8790,1271,390,133,71,1292,2931,7270,1206,384,0,51,0
92056,53845,26545,27300,42345,1810,4206,421,368,2232,16619,29082,1743,4118,1357,1768,4636
92057,58347,28959,29388,41036,4019,5673,363,235,3467,20386,25732,3832,5602,1985,1771,4982
92058,45894,24868,21026,34972,3018,2411,286,285,2109,16221,22221,3004,2346,1118,1497,2549
92059,1456,669,787,421,35,46,603,26,95,461,251,35,46,56,54,411
92060,92,43,49,92,0,0,0,0,0,10,82,0,0,0,10,0
92061,2376,1311,1065,990,6,51,826,0,233,943,494,6,51,71,110,441
92064,49933,24332,25601,37903,744,5860,444,76,2298,9029,32362,605,5787,1408,983,1915
92065,36309,18349,17960,30507,309,1084,195,30,2467,9249,24485,285,1047,1002,756,3106
92066,572,268,304,429,13,0,130,0,0,7,429,13,0,9,20,15
92067,8756,4075,4681,8240,159,152,0,0,88,1087,7289,159,152,145,286,558
92069,51447,25337,26110,36431,1288,4709,375,333,5575,25190,18651,1089,4488,1346,1830,6519
92070,829,408,421,428,0,38,226,0,69,147,408,0,38,40,58,122
92071,57511,27524,29987,46386,1209,3097,470,146,1839,10441,39708,1092,3001,1697,1272,2791
92075,12624,5872,6752,10060,117,691,140,0,1078,2098,9365,93,691,239,193,883
92078,49034,24333,24701,35937,1520,4902,385,281,2218,13775,26349,1400,4866,914,1719,3253
92081,29405,14821,14584,23384,565,2417,28,7,1573,7924,17636,493,2236,823,946,1919
92082,18065,9005,9060,15030,96,629,919,27,604,4137,11862,91,614,413,698,1403
92083,39043,20709,18334,30975,1588,1521,145,55,3243,23508,11782,1485,1457,744,1458,5822
92084,51419,25666,25753,42446,1483,1491,220,57,4140,25045,22572,1483,1422,1487,1759,6622
92086,1544,750,794,1249,29,60,106,0,45,217,1102,29,60,42,57,151
92091,1343,652,691,1077,0,235,0,0,20,77,1020,0,235,15,39,73
92101,39313,22255,17058,29016,3474,3304,184,182,1413,7858,23397,3308,3239,1310,3736,2597
92102,44500,22992,21508,32260,4077,2871,267,167,2981,27403,9058,3915,2787,1270,3009,8036
92103,34878,17354,17524,28050,1654,2296,143,99,975,5916,23704,1549,2215,816,1761,1686
92104,45202,22825,22377,34333,3303,2724,346,271,2068,15108,22864,2932,2546,1515,2502,5860
92105,72848,36049,36799,36327,10740,12177,858,116,9605,39484,9077,10175,12127,3039,5591,11661
92106,19080,9711,9369,15922,530,1140,13,128,432,2105,14360,484,1140,389,441,699
92107,31148,15640,15508,27146,649,1281,198,44,626,4176,23787,642,1194,921,1079,2167
92108,22565,11426,11139,15787,1830,2280,244,0,1062,5764,12022,1673,2106,996,1277,1386
92109,48417,25726,22691,42859,691,1918,57,196,828,6522,37602,641,1830,1239,2101,4310
92110,29911,14429,15482,23933,1502,2012,53,62,794,6096,19099,1442,1946,940,1656,1926
92111,49369,25323,24046,30587,2223,10062,179,171,3308,14650,20428,2130,10042,2145,2378,4973
92113,55623,29376,26247,31211,6745,2076,239,34,13860,41165,5259,6418,2019,2752,3897,9665
92114,70039,34909,35130,22364,14095,17019,647,233,12059,30698,6439,13775,16537,3684,2489,9038
92115,65853,31899,33954,40501,8667,9767,166,304,3255,19664,25953,8109,9590,2574,4818,7056
92116,33767,16957,16810,25895,2511,1915,245,23,1180,8774,19115,2481,1858,959,1630,3157
92117,56173,28563,27610,42938,1171,6345,257,225,2256,13455,32954,1136,6050,1772,2240,5037
92118,22484,11661,10823,19770,782,793,159,21,261,3395,17009,652,764,403,515,424
92119,23990,11495,12495,19524,943,1567,54,28,963,4295,16482,927,1542,523,782,802
92120,29142,14521,14621,23299,1346,2289,91,36,780,5181,19306,1288,2238,875,968,1296
92121,4655,2422,2233,2650,74,1555,0,3,203,533,2348,66,1530,190,256,139
92122,48438,25171,23267,27812,1129,15844,214,31,1248,5553,23640,824,15844,1485,3359,3910
92123,31216,16041,15175,19297,2570,5409,195,315,1030,6423,14942,2523,5127,933,1180,1411
92124,32170,15634,16536,21935,1886,4405,176,141,1125,5402,18467,1799,4356,725,772,1057
92126,82572,42755,39817,29099,3776,38636,233,901,3869,11433,23186,3564,38156,2164,1508,4756
92127,48721,23490,25231,28842,708,14965,202,0,455,5272,25135,674,14888,700,739,1292
92128,51066,24071,26995,33427,1170,11682,49,231,1478,5682,29735,1158,11574,1360,853,1974
92129,54986,27006,27980,30708,1341,16787,218,358,1571,6946,26559,1144,16665,1362,1290,2032
92130,55316,27583,27733,33966,1382,16573,177,9,623,3999,30830,1205,16430,1756,1030,1331
92131,34359,16594,17765,22408,753,8694,25,39,572,3733,19616,724,8590,891,482,1015
92134,280,209,71,145,76,12,0,0,44,92,94,76,12,0,0,0
92135,646,559,87,414,94,37,13,9,56,143,328,85,37,0,0,0
92139,37040,17684,19356,16489,4962,9588,128,529,2634,15590,4828,4825,9470,1585,1000,3612
92140,3669,3560,109,2958,332,53,81,0,44,953,2237,287,53,28,0,0
92145,2389,1188,1201,1524,80,658,0,49,11,405,1130,80,658,0,7,255
92154,86811,44887,41924,59523,4968,10675,285,733,7106,58821,10308,4634,10388,3726,2441,9377
92173,31866,15222,16644,27606,205,553,36,0,2942,30341,740,197,505,1901,2079,4719
92536,3028,1589,1439,2790,36,0,0,27,120,542,2391,24,0,141,138,236
